EA,T,value
0,7761,6.6706644979746594e-09
0,7762,6.670684823512787e-09
0,7763,6.6706861815497e-09
0,7764,6.670689032674459e-09
0,7765,6.670676884649055e-09
0,7766,6.67061424250193e-09
0,7767,6.669995175513672e-09
0,7768,2.6340587498332374e-09
0,7769,2.6339736362442227e-09
0,7770,6.6690508444347145e-09
0,7771,6.670603098466372e-09
0,7772,6.670686008992995e-09
0,7773,6.670718800575893e-09
0,7774,6.670754435939775e-09
0,7775,6.670868170317221e-09
0,7776,6.6712413784946026e-09
0,7777,479.16824474427966
0,7778,3973.144749870645
0,7779,6540.296561445689
0,7780,7318.606902527203
0,7781,9112.234956976688
0,7782,8289.357260287627
0,7783,3524.8724898988194
0,7784,3633.6503850827935
0,7785,7905.296574678973
0,7786,12473.347916989345
0,7787,13031.320794196961
0,7788,13031.320794196961
0,7789,13031.320794196961
0,7790,13031.320794196961
0,7791,1801.798234625063
0,7792,6.6710296158989575e-09
0,7793,6.6708373437601276e-09
0,7794,6.670877627473958e-09
0,7795,6.6712624617469e-09
0,7796,1129.5698581520467
0,7797,5721.081322821869
0,7798,7206.382253400137
0,7799,11428.224370206877
0,7800,13031.320794196963
0,7801,13031.320794196963
0,7802,13031.320794196961
0,7803,13031.320794196961
0,7804,13031.320794196961
0,7805,13031.320794196961
0,7806,13031.320794196961
0,7807,9348.45125438695
0,7808,5901.482597275881
0,7809,8651.10058241621
0,7810,8221.974900637042
0,7811,8382.357321395495
0,7812,10752.786890331305
0,7813,7197.576696824514
0,7814,6.67135131953325e-09
0,7815,6.6707475022991696e-09
0,7816,6.670704220958608e-09
0,7817,6.6706782076348975e-09
0,7818,6.6706810486587886e-09
0,7819,6.6706987708580934e-09
0,7820,6.670726816961775e-09
0,7821,6.670772710202121e-09
0,7822,6.670891847413949e-09
0,7823,6.6720382149319376e-09
0,7824,2381.1740653116917
0,7825,5855.844388816392
0,7826,8056.495494040278
0,7827,8035.231092805435
0,7828,5727.847603323439
0,7829,6.679209107506845e-09
0,7830,6.6708067091025836e-09
0,7831,6.670707557551831e-09
0,7832,6.670684297708615e-09
0,7833,6.670688275192376e-09
0,7834,6.670709787405875e-09
0,7835,6.670723148537466e-09
0,7836,6.6707308095515216e-09
0,7837,6.6707231431986175e-09
0,7838,6.670689191720141e-09
0,7839,6.6705828396143016e-09
0,7840,6.670264652339881e-09
0,7841,6.670176603998544e-09
0,7842,6.6706079159357666e-09
0,7843,6.670679829820729e-09
0,7844,6.6707080405893095e-09
0,7845,6.670736657173069e-09
0,7846,6.670769252594148e-09
0,7847,6.670884064197603e-09
0,7848,6.671771650638682e-09
0,7849,762.3016453045711
0,7850,3156.4478228981934
0,7851,3739.7327956973854
0,7852,1725.1703487653876
0,7853,6.6716596011927274e-09
0,7854,6.6707798565598044e-09
0,7855,6.6706971980237895e-09
0,7856,6.670665498725452e-09
0,7857,6.670663400014978e-09
0,7858,6.670668463943855e-09
0,7859,6.670674956910487e-09
0,7860,6.670681010955658e-09
0,7861,6.670678245017003e-09
0,7862,6.67062847608508e-09
0,7863,6.67040882702062e-09
0,7864,6.669438144742438e-09
0,7865,2.6346568105674572e-09
0,7866,6.670246434317135e-09
0,7867,6.67061262856874e-09
0,7868,6.670675481308585e-09
0,7869,6.670697586454464e-09
0,7870,6.6707190632967145e-09
0,7871,6.670752285856753e-09
0,7872,6.670847409416017e-09
0,7873,6.6709124462633506e-09
0,7874,6.6709493248547585e-09
0,7875,6.67092060494992e-09
0,7876,6.6708457319841554e-09
0,7877,6.670760731293621e-09
0,7878,6.6707038398293575e-09
0,7879,6.670624264746533e-09
0,7880,6.6704343452425615e-09
0,7881,6.670494031380226e-09
0,7882,6.670604123144151e-09
0,7883,6.67063267023394e-09
0,7884,6.670659578795243e-09
0,7885,6.670654124130914e-09
0,7886,6.670512739197233e-09
0,7887,6.669248715817927e-09
0,7888,6.655542254949462e-09
0,7889,6.6664389489452935e-09
0,7890,6.670504125513363e-09
0,7891,6.670644813406692e-09
0,7892,6.670684303631916e-09
0,7893,6.670705057308776e-09
0,7894,6.6707212877466885e-09
0,7895,6.6707621743853474e-09
0,7896,6.670840777929004e-09
0,7897,6.670916204588348e-09
0,7898,6.671002983868501e-09
0,7899,6.671001541466259e-09
0,7900,6.670892744054228e-09
0,7901,6.670779689037016e-09
0,7902,6.6707075918193956e-09
0,7903,6.670627376876025e-09
0,7904,6.670122579818734e-09
0,7905,6.669743361093018e-09
0,7906,6.669548386400702e-09
0,7907,6.669769525931441e-09
0,7908,6.670445935921133e-09
0,7909,6.670425956622969e-09
0,7910,6.6698135312132746e-09
0,7911,2.63404763192187e-09
0,7912,2.6333456947558276e-09
